Vector DB,Embedding Model,Peak Memory (MB),Total Processing Time (s),Total Documents,Total Chunks
redis,nomic-embed-text,0.0031681060791015625,0.0005099773406982422,0,0
redis,nomic-embed-text,0.0031681060791015625,0.0005080699920654297,0,0
redis,nomic-embed-text,0.0031681060791015625,0.0005021095275878906,0,0
redis,nomic-embed-text,0.0031681060791015625,0.0005509853363037109,0,0
redis,nomic-embed-text,0.0031681060791015625,0.0006911754608154297,0,0
redis,nomic-embed-text,0.0031681060791015625,0.0003447532653808594,0,0
redis,all-MiniLM-L6-v2,0.0031681060791015625,0.0005002021789550781,0,0
redis,all-MiniLM-L6-v2,0.0031681060791015625,0.0003440380096435547,0,0
redis,all-MiniLM-L6-v2,0.0031681060791015625,0.00033783912658691406,0,0
redis,all-MiniLM-L6-v2,0.0031681060791015625,0.00032520294189453125,0,0
redis,all-mpnet-base-v2,0.29378223419189453,66.96044993400574,14,167
redis,all-mpnet-base-v2,0.26601123809814453,798.832371711731,14,167
redis,all-mpnet-base-v2,0.2850456237792969,62.59155011177063,13,88
redis,all-mpnet-base-v2,0.2902240753173828,78.59241557121277,13,207
